Iteração,Sum1,Sum2,Sum3
1,37608,36111,35694
2,37466,35910,35835
3,37541,36720,36176
4,37536,36244,36528
5,37486,35564,35565
6,37220,36166,36057
7,37442,35967,36197
8,37313,36361,36000
9,36927,35929,35685
10,36933,35628,35408
11,37168,36266,35707
12,36829,35681,35395
13,37248,35318,35307
14,36595,35116,35407
15,36834,35230,35355
16,37002,35453,34853
17,36786,35743,35394
18,36950,35793,35551
19,37951,36664,35949
20,36542,35301,34972
21,36731,35203,34895
22,36801,35177,35526
23,37163,36133,35990
24,37334,35614,35376
25,36587,35478,34846
26,36366,35170,34877
27,36845,35783,35055
28,36952,35253,35225
29,36933,35346,34767
30,36857,35046,34591
31,36227,35080,34650
32,36613,35136,34814
33,36237,35383,34951
34,36777,35313,35088
35,36566,35118,34706
36,36471,34962,34801
37,36532,35358,35115
38,36531,35286,35355
39,36564,34901,34957
40,36036,34848,34898
41,37081,35302,35189
42,36474,35095,35079
43,36431,34169,35104
44,36186,35039,35084
45,36678,35217,35048
46,36753,35308,35534
47,36854,35750,35934
48,36460,35720,35562
49,36911,35309,35766
50,37348,35684,35606
51,36507,35225,35484
52,37128,36521,35908
53,37692,35375,35427
54,37381,35509,35287
55,37330,36002,35594
56,37551,36109,35727
57,37574,36048,35720
58,36627,35546,35597
59,36879,35846,35918
60,37677,36234,36449
61,37457,36050,36532
62,37209,35404,35738
63,37669,36014,35888
64,37401,35629,35970
65,37630,36852,36556
66,37505,35976,35992
67,37767,36598,35989
68,37880,35639,35952
69,37387,36267,36085
70,37535,35962,36182
71,37494,35986,36043
72,37333,35755,35810
73,37491,35976,36337
74,37221,36223,36404
75,37359,35997,36383
76,37153,35554,35626
77,37060,35554,35504
78,36950,35778,35694
79,37231,35921,35604
80,37543,35571,35854
81,37185,36247,36142
82,37189,35696,35692
83,37028,35576,35652
84,38178,36377,35614
85,37107,35862,35851
86,37166,36229,35765
87,36799,35890,35688
88,37614,36663,36381
89,37663,36107,36209
90,37432,36365,35980
91,37314,35743,35927
92,36922,35344,35799
93,36980,35984,35926
94,37219,35745,35916
95,37570,36155,35872
96,37490,35663,35772
97,37476,35108,35679
98,36939,35401,35566
99,37046,35672,35697
100,37253,35670,35919
