Iteração,Sum1,Sum2,Sum3
1,36803,36370,36127
2,36836,35472,35917
3,36471,35803,35532
4,36475,35685,35753
5,36720,35749,35878
6,36938,35609,35572
7,36199,35491,35663
8,36332,35532,35467
9,36392,35650,35571
10,36529,35701,35597
11,36372,35376,35720
12,36331,35235,35469
13,36417,34760,35043
14,36304,35118,35244
15,36059,35220,35195
16,36136,34423,35341
17,36209,35325,34917
18,35826,34694,35090
19,35796,34711,35327
20,36361,35044,34959
21,35675,34838,35144
22,35854,34758,34970
23,35869,34978,34905
24,35846,34432,34891
25,35887,34715,34497
26,35845,34873,35028
27,35675,34596,35012
28,35846,34841,35079
29,35790,34196,35022
30,35549,34551,35102
31,35725,34518,34650
32,35661,34791,34687
33,35294,34851,34894
34,36085,34740,34776
35,35499,34646,34644
36,36070,34900,35255
37,35649,34833,34753
38,35669,34722,34911
39,35773,34547,34999
40,35833,35146,35068
41,35659,35226,35004
42,35863,34719,34817
43,36188,34772,35378
44,35939,34619,35079
45,35514,34695,35097
46,36127,35016,35142
47,36331,35075,35015
48,35999,35030,35237
49,36279,34520,35347
50,36354,35089,35095
51,35925,34649,35425
52,36294,35045,35495
53,36377,35486,35474
54,36174,35539,35355
55,36365,35452,35724
56,36180,34996,35558
57,36416,35418,35472
58,36287,35779,35776
59,36300,35753,36014
60,36613,35635,35762
61,37023,35659,35710
62,36516,35777,35769
63,36805,35864,35909
64,36814,35891,35749
65,36998,35926,36074
66,36838,36067,36256
67,36807,35178,36006
68,36454,35907,35938
69,36419,35202,35939
70,36831,35593,35462
71,36650,35624,35880
72,36575,35421,36149
73,36699,35886,35830
74,36912,35414,35668
75,36783,35529,35810
76,36531,35570,35505
77,36949,35923,35859
78,36215,35368,35866
79,36476,35933,35590
80,36780,35597,36089
81,36530,35134,35782
82,36932,35774,35758
83,36669,35292,35856
84,36462,35403,35656
85,36408,35568,36085
86,36480,35906,35900
87,36819,35303,35822
88,36603,36066,35804
89,36553,35849,35645
90,36258,35692,35827
91,36272,35909,36097
92,36463,35614,35962
93,36509,35474,35456
94,36699,35331,35829
95,36408,35221,35716
96,36413,35964,35704
97,36059,35645,35441
98,36592,35430,35728
99,36219,35540,35606
100,36536,35497,35613
101,36721,35529,35608
102,36535,35313,35567
103,36282,35652,35773
104,36719,35109,35842
105,36276,35562,35675
106,36235,35706,35920
107,36481,35287,35634
108,36473,35434,35895
109,36463,36002,35528
110,36307,35557,35815
