Iteração,Sum1,Sum2,Sum3
1,36654,36261,36033
2,36463,35970,36058
3,36465,35786,35963
4,36235,35534,35897
5,36656,36289,36338
6,36524,36073,36200
7,36567,35984,36407
8,36283,35377,35710
9,36142,35916,35623
10,35905,35409,35297
11,35753,35431,35491
12,36298,35867,36081
13,36380,35401,35312
14,36022,36156,35812
15,35975,35056,35039
16,35558,35272,35262
17,35497,34956,35120
18,36332,36232,35930
19,35788,34819,35264
20,35512,35325,34969
21,35615,35172,35542
22,35742,35535,34894
23,35697,35263,35295
24,35872,34631,34977
25,36052,35691,35369
26,35419,35051,34782
27,35668,35752,35354
28,35455,35206,34730
29,35669,35465,35109
30,35575,35136,35246
31,35312,35278,34923
32,35444,34909,34541
33,35345,35226,34687
34,35413,35068,34681
35,34852,34821,35073
36,35652,35736,35140
37,35655,35187,35088
38,35660,35306,35240
39,35617,34554,35305
40,35401,35466,35070
41,35806,35620,35311
42,35187,34725,35330
43,35657,35417,35173
44,35771,35385,35332
45,35621,35513,35572
46,35949,35678,35422
47,35786,35222,35383
48,35886,35124,35438
49,35895,35917,35516
50,35829,35405,35548
51,36093,35621,35360
52,36149,36182,35984
53,36053,35384,35402
54,36198,35115,35776
55,36090,35649,35705
56,36175,35837,35698
57,36101,35210,35796
58,36779,35967,36295
59,36265,35655,36037
60,36494,35926,36272
61,36091,35946,36257
62,36562,36551,35802
63,36507,36583,35802
64,36206,36146,36012
65,36379,35676,36059
66,36245,36208,36019
67,36477,36042,35856
68,36703,35884,35920
69,36359,35562,36152
70,36596,35919,35849
71,36657,35856,36411
72,36175,36224,35799
73,36569,35915,35911
74,36142,36256,36141
75,36334,36394,35965
76,36244,36101,35675
77,36741,36399,36332
78,36300,36018,35742
79,36910,36985,36735
80,36554,36437,36324
81,36308,36226,36039
82,36327,36156,35680
83,36335,36020,35545
84,36458,35867,36235
85,36361,36503,36358
86,36219,36366,36084
87,36384,36235,35775
88,36675,36704,35989
89,36520,35811,35841
90,36300,35928,35953
91,36338,35611,36102
92,36100,36122,35793
93,35954,36211,35665
94,36308,36258,35834
95,36070,35920,35940
96,36281,35886,35861
97,36053,36123,35728
98,36282,36250,35901
99,36686,36036,36344
100,36135,36318,35622
101,36397,35884,35641
102,36755,36070,36277
103,36316,35587,35709
104,36026,35922,35781
105,36164,35956,35513
106,36354,36002,35811
107,35932,35711,35781
108,36197,35753,35843
109,36567,36447,36414
110,36563,36331,35652
111,36668,36333,36005
112,36702,36049,35895
113,36552,36085,36675
114,36527,36281,36140
115,36640,35732,36018
116,36514,36369,36034
117,36663,36874,36618
118,37264,37217,36824
119,36840,36044,36249
120,36876,36404,36375
121,37033,36772,36438
122,36898,36797,36532
123,37267,36845,36311
124,36844,36606,36342
125,37336,36950,36674
126,36945,36335,36692
127,37429,36322,36789
128,37849,37454,36914
129,37505,36548,36862
130,37230,36864,36913
131,37820,37405,36963
132,37509,37068,36975
133,37970,37016,37353
134,37548,37516,37551
135,38093,37651,37741
136,38016,37648,37168
137,38209,37766,37380
138,37982,37947,37675
139,38553,38672,38026
140,38187,37302,37734
141,38138,37587,37560
142,38192,37629,37995
143,38524,38087,38037
144,38312,38272,37760
145,38520,38305,38269
146,38750,38081,38274
147,38602,38086,38033
148,38822,38572,38304
149,38442,38521,37961
150,38644,37960,37852
151,38468,38091,37987
152,39296,38830,38832
153,38316,38283,37975
154,38738,38263,37891
