Iteração,Sum1,Sum2,Sum3
1,3256,3230,3235
2,3237,3215,3241
3,3245,3231,3224
4,3240,3216,3234
5,3229,3221,3222
6,3249,3222,3230
7,3245,3234,3234
8,3233,3230,3231
9,3226,3218,3224
10,3222,3229,3233
11,3218,3199,3229
12,3222,3223,3217
13,3210,3203,3214
14,3207,3200,3217
15,3219,3216,3226
16,3199,3194,3216
17,3216,3206,3200
18,3216,3197,3210
19,3205,3185,3195
20,3195,3190,3203
21,3207,3196,3180
22,3199,3189,3194
23,3194,3194,3192
24,3195,3187,3196
25,3200,3192,3191
26,3198,3186,3178
27,3217,3168,3179
28,3203,3174,3192
29,3196,3205,3181
30,3195,3182,3187
31,3186,3183,3176
32,3179,3176,3174
33,3191,3174,3175
34,3212,3180,3181
35,3177,3158,3167
36,3194,3167,3155
37,3196,3207,3188
38,3184,3166,3180
39,3183,3176,3186
40,3191,3188,3179
41,3189,3175,3201
42,3203,3174,3190
43,3201,3195,3197
44,3210,3184,3182
45,3186,3188,3207
46,3202,3187,3202
47,3209,3206,3201
48,3215,3197,3215
49,3220,3195,3204
50,3206,3197,3219
51,3209,3209,3212
52,3237,3220,3213
53,3218,3213,3226
54,3232,3218,3232
55,3225,3220,3219
56,3241,3220,3218
57,3230,3218,3217
58,3234,3245,3224
59,3251,3231,3217
60,3256,3240,3246
61,3239,3227,3239
62,3255,3224,3234
63,3244,3244,3251
64,3252,3244,3250
65,3235,3254,3262
66,3272,3261,3271
67,3255,3249,3280
68,3267,3255,3266
69,3274,3239,3249
70,3270,3242,3254
71,3266,3266,3275
72,3250,3266,3267
73,3252,3281,3271
74,3257,3268,3287
75,3271,3263,3259
76,3273,3269,3254
77,3271,3263,3257
78,3271,3248,3269
79,3275,3252,3266
80,3249,3280,3263
81,3270,3260,3274
82,3267,3270,3262
83,3248,3264,3255
84,3280,3280,3279
85,3262,3259,3255
86,3277,3234,3256
87,3272,3246,3267
88,3285,3259,3275
89,3275,3287,3271
90,3286,3261,3244
91,3279,3273,3261
92,3250,3256,3260
93,3264,3265,3256
94,3279,3265,3251
95,3279,3260,3271
96,3280,3263,3258
97,3257,3277,3264
98,3257,3259,3239
99,3260,3246,3260
100,3267,3237,3266
101,3248,3234,3256
102,3259,3245,3235
103,3245,3245,3242
104,3256,3247,3256
105,3242,3253,3235
106,3249,3242,3259
107,3230,3225,3235
108,3242,3232,3238
109,3252,3259,3244
110,3245,3239,3226
111,3268,3231,3246
112,3225,3228,3238
113,3242,3232,3218
114,3255,3227,3243
115,3248,3229,3243
116,3267,3236,3269
117,3265,3220,3239
118,3253,3241,3241
119,3251,3238,3248
120,3252,3236,3232
121,3260,3227,3259
122,3263,3251,3231
123,3242,3251,3240
124,3258,3234,3256
